"teamName","inGameName","checkedInAt","userID","teamID","Nome e # no discord"
"Gremorys","Lt7 Fox","Sat Sep 12 2020 12:28:30 GMT+0000 (UTC)",,"5f5ab8299c6df363ad9f6ad8","Mr.Ghost #3283"
"X.Eu","DNMpinhead","Sat Sep 12 2020 12:36:08 GMT+0000 (UTC)","552c8200a434ae470006a45f","5f5746d976b8305ffaa4a202","CiriloXEu #4761"
"TodosPorUm","BRUNAO2","Sat Sep 12 2020 12:53:19 GMT+0000 (UTC)","55b91a715acba64200737af4","5f5acbca9e496364994ce422","BRUNAO#3554"
"TodosPorUm","j0wHD","Sat Sep 12 2020 12:53:19 GMT+0000 (UTC)","55b9553c5311be4e0052d784","5f5acbca9e496364994ce422","BRUNAO#3554"
"TodosPorUm","VICTAAO","Sat Sep 12 2020 12:53:19 GMT+0000 (UTC)","5637f2a833e79f4800fc2a62","5f5acbca9e496364994ce422","BRUNAO#3554"
"Capone Gaming","Manager","Sat Sep 12 2020 12:31:28 GMT+0000 (UTC)","5689ee2d3ff1ce6d00f23920","5f54241242aba6378979907e","Kyo#0959"
"Renegados","Mateusu","Sat Sep 12 2020 12:28:37 GMT+0000 (UTC)","56f5758d608d1d88125ee6a5","5f59042920ac296025cf84ee","Agvasconcelos #6197"
"(EAD) Estudamos amanhã ou depois","SnotchCH","Sat Sep 12 2020 12:36:59 GMT+0000 (UTC)","5749203143098a8612dafa96","5f5a60d3c3eccd791d05dcb2","GArthur#8967"
"Tea Time Monkeys","Hayzei","Sat Sep 12 2020 12:29:00 GMT+0000 (UTC)","575254c11cad348112075475","5f585b199ba2df6416d87346","Matsuhashi#8098"
,"Brendu",,"57647227493fec2c0cc0d3d1",,"Brendo"
"Machado 89","DracoJP","Sat Sep 12 2020 12:28:59 GMT+0000 (UTC)","5776e587bff510250c4ca90a","5f53a8b72cd06c40debfe311","MrMegar#7627"
"Força do Abitt","Socaporva","Sat Sep 12 2020 12:26:57 GMT+0000 (UTC)","57faa29e0a0f121c0c1c45b4","5f5ba1e08d5de561a3937da6","Zanarella#5834"
"Tea Time Monkeys","censorsh1p","Sat Sep 12 2020 12:29:00 GMT+0000 (UTC)","580bc095973fd13d034069b7","5f585b199ba2df6416d87346","Matsuhashi#8098"
"The Gods of Farofa","Kaninha","Sat Sep 12 2020 12:30:39 GMT+0000 (UTC)","5824925e57e7163f037a4ef8","5f5c0148ea99c063b690cb22","TeenLe #7675"
"Tea Time Monkeys","tkshh1","Sat Sep 12 2020 12:29:00 GMT+0000 (UTC)","5824e2135ed401370376ad74","5f585b199ba2df6416d87346","Matsuhashi#8098"
"DINO'S PRO","Noegod","Sat Sep 12 2020 12:52:36 GMT+0000 (UTC)","5824fa032818402b030ababe","5f53d0b5e425a655aadc24c7","AcrianoBR#6049"
,"LittleB4st4rd",,"5824fbf3c15cf645037360a5",,"LittleB4st4rd#2460"
"Unbreakable","LuscaRage","Sat Sep 12 2020 12:53:01 GMT+0000 (UTC)","5884e8bdc5e26b3503c2479e","5f56c5249ba2df6416d858a8","JRoberto06#5687"
"(EAD) Estudamos amanhã ou depois","Detonador2003","Sat Sep 12 2020 12:36:59 GMT+0000 (UTC)","589efdea15f0b73b03fc786d","5f5a60d3c3eccd791d05dcb2","GArthur#8967"
"TodosPorUm","SuicideA7x","Sat Sep 12 2020 12:53:19 GMT+0000 (UTC)","58a466be730f3e3903ff5557","5f5acbca9e496364994ce422","BRUNAO#3554"
"KIL","Shari","Sat Sep 12 2020 12:31:15 GMT+0000 (UTC)","58b0a609d5d87f39033870b1","5f53c4672736604a1961a6d4","Dama#1138"
"Waldemar's Team","PaiTaDeCeltinha","Sat Sep 12 2020 12:52:52 GMT+0000 (UTC)","58b0b4ebe9a881460365bacb","5f554eb942aba6378979b433","Never®#2911"
"Tcholas Gaming","mosquitokill","Sat Sep 12 2020 12:27:56 GMT+0000 (UTC)","58b0ed366eaaa733030d33a8","5f5b5dcaab8e7e6194e8d484","EBT ssfliper#6153"
"Machado 89","CachorrøBRABO","Sat Sep 12 2020 12:28:59 GMT+0000 (UTC)","58c35f89fc7ac32c037592ab","5f53a8b72cd06c40debfe311","MrMegar#7627"
"Indra e-Sports","Nerbas","Sat Sep 12 2020 12:30:25 GMT+0000 (UTC)","58cc70d70b8cfb47037ac1ec","5f567b94629c8b6045fb2957","Ykaros.Oficial#7382"
"Aposentados & Perigosos","Brïght",,"58d5320378d4c03203f9ad90","5f578cfde425a655aadc85f8","Bright#1710"
"X.Eu","koikoiti","Sat Sep 12 2020 12:36:08 GMT+0000 (UTC)","58d72e662a77043d030538a6","5f5746d976b8305ffaa4a202","CiriloXEu #4761"
"Fine Thin Gaming","Attchim","Sat Sep 12 2020 12:30:18 GMT+0000 (UTC)","58f7bf24cc5b8103338633fc","5f566b4b95561b78729a9470","Jordan - PUPA#7368 discord"
"Waldemar's Team","NegoHider","Sat Sep 12 2020 12:52:52 GMT+0000 (UTC)","591f9dc86495780336133a06","5f554eb942aba6378979b433","Never®#2911"
"Machado 89","Aethiaa","Sat Sep 12 2020 12:28:59 GMT+0000 (UTC)","592884585f5ef81f18017c20","5f53a8b72cd06c40debfe311","MrMegar#7627"
"BELS Team","bombaBR","Sat Sep 12 2020 12:43:35 GMT+0000 (UTC)","5928c356ee13fa032e62c1f9","5f5c042d9e496364994d020b","bomba#5889"
"Fine Thin Gaming","P3ligros820","Sat Sep 12 2020 12:30:18 GMT+0000 (UTC)","593b454d957b640332e69303","5f566b4b95561b78729a9470","Jordan - PUPA#7368 discord"
